#;Date;Heure;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;;;
174;08/01/2026;14:17;21h;TOP 30;86,9;DOGEUSDT;SHORT;0,15177;0,14508;1,6983;TP;TP1 & TP2 Touchés;;;;;;;;;
175;08/01/2026;14:59;23h;TOP 30;88,6;PEPEUSDT;SHORT;0,0000070059;0,0000065071;2,0786;TP;TP1 & TP2 Touchés;;;;;;;;;
176;08/01/2026;15:01;40m;DEGEN;90;ENAUSDT;SHORT;0,2347;0,2299;0,5815;TP;TP1 Touché;;;;;;;;;
177;08/01/2026;15:35;2h;DEGEN;98;VIRTUALUSDT;SHORT;1,0365;1,0525;-0,4715;SL;;;;;;;;;;
178;08/01/2026;15:58;1h;DEGEN;98;WIFUSDT;SHORT;0,3854;0,3899;-0,37;SL;;;;;;;;;;
179;08/01/2026;16:18;5h;DEGEN;90;RENDERUSDT;SHORT;2,221;2,255;-0,4732;SL;;;;;;;;;;
180;08/01/2026;17:24;2h;DISCOVERY;80;ZECUSDT;SHORT;443,39;408,13;2,2949;TP;TP1 & TP2 Touchés;;;;;;;;;
181;08/01/2026;17:58;2h;DEGEN;98;PEPEUSDT;SHORT;0,0000063838;0,0000062196;0,7425;TP;TP1 & TP2 Touchés;;;;;;;;;
182;08/01/2026;20:44;10h 30m;DISCOVERY;85;USELESSUSDT;SHORT;0,1089;0,10837;0,0831;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
183;08/01/2026;21:13;10h;DISCOVERY;100;JASMYUSDT;SHORT;0,008365;0,008337;0,0438;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
184;08/01/2026;22:51;4h 30m;DISCOVERY;90;TRUMPUSDT;SHORT;5,308;5,303;-0,0001;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
185;08/01/2026;23:12;7h 30m;DISCOVERY;100;PENGUUSDT;SHORT;0,012049;0,012002;0,0598;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
186;08/01/2026;23:19;8h;DISCOVERY;100;1000BONKUSDT;SHORT;0,011056;0,011004;0,0791;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
187;08/01/2026;23:39;1h;DEGEN;98;PIEVERSEUSDT;SHORT;0,78003;0,80391;-0,6308;SL;;;;;;;;;;
188;08/01/2026;23:41;4h 30m;DISCOVERY;85;RENDERUSDT;SHORT;2,149;2,255;-1,4752;SL;;;;;;;;;;
189;08/01/2026;23:59;3h;DEGEN;98;PEPEUSDT;SHORT;0,000006146;0,000006143;-0,0091;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
190;09/01/2026;00:02;1h;TOP 30;82,3;SUIUSDT;SHORT;1.8011;1.846;-1,0273;SL;;;;;;;;;;
191;09/01/2026;00:48;2h;DISCOVERY;100;KASUSDT;SHORT;0,0455;0,04706;-0,7002;SL;;;;;;;;;;
192;09/01/2026;10:14;23h;DISCOVERY;90;ACHUSDT;SHORT;0,009514;0,009473;0,0737;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
193;09/01/2026;10:18;12m;DEGEN ;98;VIRTUALUSDT;SHORT;1,044;1,0602;-0,4773;SL;;;;;;;;;;
194;09/01/2026;14:43;2h 30m;DEGEN;88;RENDERUSDT;LONG;2,208;2,258;0,6503;TP;TP1 & TP2 Touchés;;;;;;;;;
195;09/01/2026;15:39;4h;DISCOVERY;85;LITUSDT;SHORT;2,992;3,1;-0,6661;SL;;;;;;;;;;
196;09/01/2026;15:39;21h;DEGEN;92;HBARUSDT;SHORT;0,12083;0,12032;0,0679;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
197;09/01/2026;16:13;3h;DEGEN;70;ZENUSDT;LONG;9,907;9,719;-0,5702;SL;;;;;;;;;;
198;09/01/2026;16:43;15m;DEGEN;70;ZENUSDT;LONG;9,561;9,456;-0,3491;SL;;;;;;;;;;
199;09/01/2026;16:54;5h;DEGEN;98;JASMYUSDT;SHORT;0,009306;0,008861;0,9235;TP;TP1 & TP2 Touchés;;;;;;;;;
200;09/01/2026;20:09;8h;DEGEN;88;FARTCOINUSDT;LONG;0,4;0,4009;0,0399;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
201;09/01/2026;21:21;12h;DISCOVERY;85;PUMPUSDT;SHORT;0,002168;0,002259;-0,8506;SL;;;;;;;;;;
202;09/01/2026;22:45;2h 30m;DISCOVERY;80;PUMPUSDT;LONG;0,002209;0,002246;0,4858;TP;TP1 Touché;;;;;;;;;
203;09/01/2026;23:13;3h 30m;DEGEN;88;JASMYUSDT;LONG;0,009067;0,009499;0,9358;TP;TP1 & TP2 Touchés;;;;;;;;;
204;09/01/2026;23:26;10h;DISCOVERY;90;TAOUSDT;SHORT;277,82;291,41;-1,4873;SL;;;;;;;;;;
205;09/01/2026;23:29;2h;TOP 30;83,4;PEPEUSDT;SHORT;0,0000061523;0,0000062549;-0,5304;SL;;;;;;;;;;
206;10/01/2026;00:08;8h;DISCOVERY;80;PIEVERSEUSDT;SHORT;0,72812;0,68618;0,9784;TP;TP1 & TP2 Touchés;;;;;;;;;
207;10/01/2026;00:18;3d 4h;SWING;74;NEARUSDT;SHORT;1,7585;1,7539;0,0811;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
208;10/01/2026;01:16;10h;SWING;64;TIAUSDT;LONG;0,5602;0,5613;0,0304;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
209;10/01/2026;14:24;1d 6h;DISCOVERY;90;ANIMEUSDT;SHORT;0,007747;0,007542;0,3121;TP;TP1 Touché;;;;;;;;;
210;10/01/2026;16:50;20h;SWING;64;OPUSDT;SHORT;0,3122;0,318;-0,3871;SL;;;;;;;;;;
211;10/01/2026;18:47;3h;DISCOVERY;80;AVNTUSDT;SHORT;0,32337;0,32;0,101;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
212;10/01/2026;23:21;10h;DISCOVERY;100;VIRTUALUSDT;SHORT;1,0393;1,0728;-0,9589;SL;;;;;;;;;;
213;10/01/2026;23:24;13h;DISCOVERY;90;RENDERUSDT;SHORT;2,302;2,33;-0,2587;SL;;;;;;;;;;
214;11/01/2026;02:04;14h;DEGEN;90;ZECUSDT;SHORT;397,38;375,92;3,137;TP;TP1 & TP2 Touchés;;;;;;;;;
215;11/01/2026;03:54;3h 20m;DEGEN;98;GPSUSDT;SHORT;0,006334;0,006539;-0,6637;SL;;;;;;;;;;
216;11/01/2026;11:25;11h;DISCOVERY;85;RENDERUSDT;SHORT;2,286;2,362;-0,6678;SL;;;;;;;;;;
217;11/01/2026;12:04;3h;DISCOVERY;80;FORMUSDT;SHORT;0,4049;0,4096;-0,2481;SL;;;;;;;;;;
218;11/01/2026;15:06;2h;DEGEN;80;PIPPINUSDT;SHORT;0,33969;0,35158;-0,7133;SL;;;;;;;;;;
219;11/01/2026;21:05;7h;DEGEN;88;CHZUSDT;SHORT;0,04876;0,04835;0,2321;TP;TP1 Touché;;;;;;;;;
220;11/01/2026;23:56;12h;DISCOVERY;80;FORMUSDT;LONG;0,4098;0,3898;-0,985;SL;;;;;;;;;;
221;12/01/2026;00:43;2m;DEGEN;98;FARTCOINUSDT;LONG;0,3956;0,3918;-0,3201;SL;;;;;;;;;;
222;12/01/2026;00:51;2h 30m;DEGEN;80;GUNUSDT;LONG;0,02367;0,02291;-0,6494;SL;;;;;;;;;;
223;12/01/2026;07:04;1d 10h;SWING;64;DOTUSDT;LONG;2,12;2,04;-1,0834;SL;;;;;;;;;;
224;12/01/2026;08:51;18h;DISCOVERY;80;STXUSDT;LONG;0,387;0,3721;-1,1622;SL;;;;;;;;;;
225;12/01/2026;10:07;4d 9h;SWING;64;LINKUSDT;SHORT;13,689;13,34;0,3417;TP;TP1 Touché;;;;;;;;;
226;12/01/2026;10:12;2d;DEGEN;98;HYPEUSDT;SHORT;24,419;24,793;-0,4632;SL;;;;;;;;;;
227;12/01/2026;10:13;2d 17h;SWING;64;XRPUSDT;SHORT;2,0904;2,0776;0,1624;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
228;12/01/2026;10:15;22h;DEGEN;88;NMRUSDT;SHORT;10,001;9,928;0,1862;BE;Mis a BE après dépassement de la durée limite;;;;;;;;;
229;12/01/2026;10:15;4d 14h;SWING;74;SOLUSDT;SHORT;136,828;142,375;-0,5628;SL;;;;;;;;;;
230;12/01/2026;10:25;1h;DISCOVERY;80;GUNUSDT;LONG;0,0238;0,02553;1,4209;TP;TP1 & TP2 Touchés;;;;;;;;;
231;12/01/2026;11:11;4d 12h;SWING;74;LTCUSDT;SHORT;82,33;79,52;0,8303;TP;TP1 & TP2 Touchés;;;;;;;;;
232;12/01/2026;11:15;2d;SWING;74;AVAXUSDT;SHORT;13,643;14,157;-1,1121;SL;;;;;;;;;;
233;12/01/2026;15:35;2d;SWING;64;OPUSDT;LONG;0,3178;0,3221;0,2495;TP;TP1 Touché;;;;;;;;;
234;12/01/2026;16:15;2d;SWING;64;NEARUSDT;LONG;1,7044;1,7291;0,2445;TP;TP1 Touché;;;;;;;;;
235;13/01/2026;08:23;2d 9h;SWING;64;SEIUSDT;SHORT;0,1205;0,11868;0,3998;TP;TP1 Touché;;;;;;;;;
236;13/01/2026;11:04;3d 21h;SWING;64;INJUSDT;LONG;5,249;5,051;-0,7782;SL;;;;;;;;;;
237;13/01/2026;11:04;4d 20h;SWING;64;BNBUSDT;SHORT;884,32;904,87;-0,6313;SL;;;;;;;;;;
239;;;;;;;;;;;;;;;;;;;;;
240;;;;;;;;;;;;;;;;;;;;;
241;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;;;;;;;;;;
243;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;;;;;;;;;;
245;;;;;;;;;;;;;;;;;;;;;
246;;;;;;;;;;;;;;;;;;;;;
247;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;;;;;;;;;;
249;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;;;;;;;
251;;;;;;;;;;;;;;;;;;;;;
252;;;;;;;;;;;;;;;;;;;;;
253;;;;;;;;;;;;;;;;;;;;;
254;10/01/2026;;;;;;;;;;;;;;;;;;;;
