#;Date E;Heure E;Date S;Heure S;Durée de trade ;Bot;Score;Symbol;Direction;Entry_Prix;Exit_Prix;PnL_Net;Exit_Raison;Notes;Notes 2;Total PnL;PNL Long;PNL Short;Total Long;Total Short;PnL TPDe;PnL SLDe;PnL BE
95;;;;;0h 0m;;;;;;;;;;;;;;;;;;
96;;;;;0h 0m;;;;;;;;;;;;;;;;;;
97;;;;;0h 0m;;;;;;;;;;;;;;;;;;
98;;;;;0h 0m;;;;;;;;;;;;;;;;;;
99;;;;;0h 0m;;;;;;;;;;;;;;;;;;
100;;;;;0h 0m;;;;;;;;;;;;;;;;;;
101;;;;;0h 0m;;;;;;;;;;;;;;;;;;
102;;;;;0h 0m;;;;;;;;;;;;;;;;;;
103;;;;;0h 0m;;;;;;;;;;;;;;;;;;
104;;;;;0h 0m;;;;;;;;;;;;;;;;;;
105;;;;;0h 0m;;;;;;;;;;;;;;;;;;
106;;;;;0h 0m;;;;;;;;;;;;;;;;;;
107;;;;;0h 0m;;;;;;;;;;;;;;;;;;
108;;;;;0h 0m;;;;;;;;;;;;;;;;;;
109;;;;;0h 0m;;;;;;;;;;;;;;;;;;
110;;;;;0h 0m;;;;;;;;;;;;;;;;;;
111;;;;;0h 0m;;;;;;;;;;;;;;;;;;
112;;;;;0h 0m;;;;;;;;;;;;;;;;;;
113;;;;;0h 0m;;;;;;;;;;;;;;;;;;
114;;;;;0h 0m;;;;;;;;;;;;;;;;;;
115;;;;;0h 0m;;;;;;;;;;;;;;;;;;
116;;;;;0h 0m;;;;;;;;;;;;;;;;;;
117;;;;;0h 0m;;;;;;;;;;;;;;;;;;
118;;;;;0h 0m;;;;;;;;;;;;;;;;;;
119;;;;;0h 0m;;;;;;;;;;;;;;;;;;
120;;;;;0h 0m;;;;;;;;;;;;;;;;;;
121;;;;;0h 0m;;;;;;;;;;;;;;;;;;
122;;;;;0h 0m;;;;;;;;;;;;;;;;;;
123;;;;;0h 0m;;;;;;;;;;;;;;;;;;
124;;;;;0h 0m;;;;;;;;;;;;;;;;;;
125;;;;;0h 0m;;;;;;;;;;;;;;;;;;
126;;;;;0h 0m;;;;;;;;;;;;;;;;;;
127;;;;;0h 0m;;;;;;;;;;;;;;;;;;
128;;;;;0h 0m;;;;;;;;;;;;;;;;;;
129;;;;;0h 0m;;;;;;;;;;;;;;;;;;
130;;;;;0h 0m;;;;;;;;;;;;;;;;;;
131;;;;;0h 0m;;;;;;;;;;;;;;;;;;
132;;;;;0h 0m;;;;;;;;;;;;;;;;;;
133;;;;;0h 0m;;;;;;;;;;;;;;;;;;
134;;;;;0h 0m;;;;;;;;;;;;;;;;;;
135;;;;;0h 0m;;;;;;;;;;;;;;;;;;
136;;;;;0h 0m;;;;;;;;;;;;;;;;;;
137;;;;;0h 0m;;;;;;;;;;;;;;;;;;
138;;;;;0h 0m;;;;;;;;;;;;;;;;;;
139;;;;;0h 0m;;;;;;;;;;;;;;;;;;
140;;;;;0h 0m;;;;;;;;;;;;;;;;;;
141;;;;;0h 0m;;;;;;;;;;;;;;;;;;
142;;;;;0h 0m;;;;;;;;;;;;;;;;;;
143;;;;;0h 0m;;;;;;;;;;;;;;;;;;
144;;;;;0h 0m;;;;;;;;;;;;;;;;;;
145;;;;;0h 0m;;;;;;;;;;;;;;;;;;
146;;;;;0h 0m;;;;;;;;;;;;;;;;;;
147;;;;;0h 0m;;;;;;;;;;;;;;;;;;
148;;;;;0h 0m;;;;;;;;;;;;;;;;;;
149;;;;;0h 0m;;;;;;;;;;;;;;;;;;
150;;;;;0h 0m;;;;;;;;;;;;;;;;;;
151;;;;;0h 0m;;;;;;;;;;;;;;;;;;
152;;;;;0h 0m;;;;;;;;;;;;;;;;;;
153;;;;;0h 0m;;;;;;;;;;;;;;;;;;
154;;;;;0h 0m;;;;;;;;;;;;;;;;;;
155;;;;;0h 0m;;;;;;;;;;;;;;;;;;
156;;;;;0h 0m;;;;;;;;;;;;;;;;;;
157;;;;;0h 0m;;;;;;;;;;;;;;;;;;
158;;;;;0h 0m;;;;;;;;;;;;;;;;;;
159;;;;;0h 0m;;;;;;;;;;;;;;;;;;
160;;;;;0h 0m;;;;;;;;;;;;;;;;;;
161;;;;;0h 0m;;;;;;;;;;;;;;;;;;
162;;;;;0h 0m;;;;;;;;;;;;;;;;;;
163;;;;;0h 0m;;;;;;;;;;;;;;;;;;
164;;;;;0h 0m;;;;;;;;;;;;;;;;;;
165;;;;;0h 0m;;;;;;;;;;;;;;;;;;
166;;;;;0h 0m;;;;;;;;;;;;;;;;;;
167;;;;;0h 0m;;;;;;;;;;;;;;;;;;
168;;;;;0h 0m;;;;;;;;;;;;;;;;;;
169;;;;;0h 0m;;;;;;;;;;;;;;;;;;
170;;;;;0h 0m;;;;;;;;;;;;;;;;;;
171;;;;;0h 0m;;;;;;;;;;;;;;;;;;
172;;;;;0h 0m;;;;;;;;;;;;;;;;;;
173;;;;;0h 0m;;;;;;;;;;;;;;;;;;
174;;;;;0h 0m;;;;;;;;;;;;;;;;;;
175;;;;;0h 0m;;;;;;;;;;;;;;;;;;
176;;;;;0h 0m;;;;;;;;;;;;;;;;;;
177;;;;;0h 0m;;;;;;;;;;;;;;;;;;
178;;;;;0h 0m;;;;;;;;;;;;;;;;;;
179;;;;;0h 0m;;;;;;;;;;;;;;;;;;
180;;;;;0h 0m;;;;;;;;;;;;;;;;;;
181;;;;;0h 0m;;;;;;;;;;;;;;;;;;
182;;;;;0h 0m;;;;;;;;;;;;;;;;;;
183;;;;;0h 0m;;;;;;;;;;;;;;;;;;
184;;;;;0h 0m;;;;;;;;;;;;;;;;;;
185;;;;;0h 0m;;;;;;;;;;;;;;;;;;
186;;;;;0h 0m;;;;;;;;;;;;;;;;;;
187;;;;;0h 0m;;;;;;;;;;;;;;;;;;
188;;;;;0h 0m;;;;;;;;;;;;;;;;;;
189;;;;;0h 0m;;;;;;;;;;;;;;;;;;
190;;;;;0h 0m;;;;;;;;;;;;;;;;;;
191;;;;;0h 0m;;;;;;;;;;;;;;;;;;
192;;;;;0h 0m;;;;;;;;;;;;;;;;;;
193;;;;;0h 0m;;;;;;;;;;;;;;;;;;
194;;;;;0h 0m;;;;;;;;;;;;;;;;;;
195;;;;;0h 0m;;;;;;;;;;;;;;;;;;
196;;;;;0h 0m;;;;;;;;;;;;;;;;;;
197;;;;;0h 0m;;;;;;;;;;;;;;;;;;
